,1,2,3,4,5,6
0,32.25,5.76,14.0,4.36,18.0,2.12
1,37.75,5.07,15.5,3.2,14.75,1.79
2,34.5,2.6,20.0,4.74,20.5,2.87
3,23.75,5.36,11.75,6.22,14.25,3.77
4,41.25,3.77,15.0,6.63,11.5,2.69
5,36.75,1.3,13.5,3.35,15.0,2.55
6,37.0,1.22,17.5,4.92,12.5,3.64
7,38.5,7.09,11.5,6.8,16.0,4.74
8,27.5,6.42,16.33,2.62,14.67,3.86
9,26.0,3.61,15.75,2.95,14.25,6.3
10,40.33,1.25,14.75,2.17,15.0,2.45
11,35.0,1.22,17.0,1.22,14.75,3.27
12,35.0,2.92,18.75,3.11,16.5,2.96
13,37.67,8.34,15.0,2.45,14.33,8.18
14,33.25,1.79,15.67,2.87,13.0,3.74
15,32.75,6.94,14.75,2.17,15.0,2.45
16,42.75,4.15,20.25,0.83,12.0,2.12
17,41.5,1.5,11.5,4.61,14.0,4.69
18,33.25,8.64,11.75,7.85,11.75,2.17
19,31.25,4.71,17.25,3.03,17.5,3.77
20,25.5,3.35,13.25,1.09,18.25,1.79
21,32.5,10.5,15.0,1.63,18.67,1.7
22,38.25,0.83,19.0,4.18,15.25,2.38
23,36.25,3.56,19.33,2.36,15.33,1.25
24,42.33,2.87,16.0,2.55,21.0,0.0
25,33.33,2.05,12.25,3.03,18.67,3.3
26,23.67,2.36,9.67,1.25,15.33,4.03
27,37.67,5.44,16.0,1.41,10.0,6.0
28,39.0,3.74,17.5,3.64,13.5,3.2
29,33.5,2.87,11.0,1.22,17.5,3.35
30,36.0,4.24,14.33,0.47,15.67,2.62
31,33.25,2.95,12.75,1.92,12.25,6.87
32,32.25,7.46,17.5,2.6,16.5,3.91
33,39.5,3.84,18.0,2.55,18.0,1.73
34,37.5,1.12,17.75,1.64,16.5,2.69
35,36.75,3.27,11.0,7.0,15.0,4.24
36,29.5,14.5,18.25,1.79,18.25,5.93
37,25.25,7.33,16.5,1.5,21.5,2.87
38,32.33,3.3,15.5,1.5,18.33,5.25
39,39.5,6.54,15.75,1.3,9.25,7.36
40,31.5,4.5,15.0,1.0,15.5,3.5
41,36.0,2.12,14.0,2.55,17.25,2.86
42,33.75,5.36,20.5,2.96,18.75,4.6
43,29.25,2.86,19.75,2.17,18.5,2.06
44,34.75,5.07,17.75,3.42,12.75,3.27
45,38.25,5.76,18.25,3.7,14.0,4.85
46,32.5,3.5,13.0,2.0,19.75,1.48
47,36.5,4.15,16.0,2.74,16.75,2.49
48,29.0,3.67,16.0,2.55,9.25,3.56
49,25.25,4.76,15.0,5.1,14.0,4.12
50,38.33,4.99,14.33,1.7,10.5,3.5
51,34.2,3.6,16.5,2.69,14.75,1.79
52,34.67,6.85,9.5,3.57,14.0,5.35
53,34.0,12.14,16.5,3.35,20.75,2.95
54,28.5,4.72,15.25,4.02,18.5,6.8
55,31.33,6.13,15.33,4.92,15.0,2.12
56,41.0,3.0,17.75,1.79,18.25,2.77
57,31.25,1.3,14.75,5.93,17.5,2.18
58,36.0,3.67,20.75,0.43,16.0,2.24
59,34.0,12.51,19.75,1.09,19.75,4.71
60,30.25,2.59,21.0,1.87,21.25,0.43
61,30.0,3.67,21.25,1.09,21.75,0.83
62,40.67,3.68,22.67,1.89,8.0,4.97
63,36.5,2.29,17.25,3.77,14.75,5.89
64,41.25,3.27,15.25,6.06,23.25,1.48
65,35.25,5.36,18.75,2.86,18.25,4.44
66,28.25,5.72,16.25,6.1,14.5,5.12
67,39.5,3.57,18.75,2.49,15.0,7.58
68,32.25,3.9,18.25,4.26,20.0,2.12
69,35.5,5.41,18.0,4.32,13.33,2.36
70,37.25,7.15,12.25,6.57,17.25,2.86
71,31.5,3.35,12.67,3.3,19.25,1.09
72,35.5,1.5,10.5,5.59,19.25,1.92
73,36.25,3.77,12.25,8.26,20.25,2.59
74,38.5,1.5,18.75,3.9,20.0,0.71
75,36.75,3.27,15.75,0.83,14.0,2.94
76,39.5,8.29,13.5,6.22,18.5,5.12
77,24.67,1.7,13.75,2.28,15.67,6.18
78,24.0,2.12,13.33,3.4,14.0,7.91
79,42.67,1.7,21.67,0.94,18.0,2.55
80,32.5,6.65,18.75,3.9,16.33,3.3
81,34.5,11.32,21.0,2.12,11.25,5.12
82,39.75,5.36,15.5,2.87,14.25,1.92
83,31.0,3.0,16.5,2.96,17.5,0.5
84,33.0,6.36,11.5,2.18,12.25,2.17
85,38.75,5.63,12.25,2.28,16.75,3.49
86,35.0,4.24,14.0,5.05,18.25,4.21
87,37.75,5.36,16.0,3.56,11.67,0.47
88,36.75,6.06,12.75,3.11,17.25,3.49
89,28.0,1.87,17.75,4.71,19.25,0.83
90,36.0,4.9,16.0,2.83,17.67,4.19
91,30.0,4.55,16.25,4.76,21.0,2.12
92,36.0,0.0,10.5,5.32,14.33,4.03
93,39.0,6.6,8.25,3.77,5.75,3.27
94,31.0,2.92,9.33,4.19,14.75,4.6
95,30.5,5.02,15.75,2.86,14.0,1.22
96,40.5,2.69,14.5,3.77,15.75,3.11
97,36.0,0.0,14.33,2.62,18.0,4.53
98,35.0,5.05,17.0,2.12,15.33,3.09
99,37.5,6.87,15.75,1.48,16.5,1.5
100,24.25,7.26,15.75,5.8,13.25,5.31
101,29.25,6.06,10.67,8.06,15.25,4.02
102,40.25,3.19,15.25,1.3,17.75,2.38
103,33.75,1.3,19.5,1.5,14.5,6.26
104,37.75,1.09,17.33,0.94,16.0,2.94
105,34.5,7.23,7.67,4.03,17.0,2.12
106,27.0,2.55,14.75,1.64,15.75,1.48
107,28.67,1.25,19.33,5.91,23.0,1.41
108,40.5,4.5,17.33,3.3,16.67,2.62
109,35.25,1.3,17.25,3.27,17.67,4.03
110,35.75,3.63,9.67,5.31,15.25,3.96
111,36.75,1.3,13.75,2.05,13.0,5.79
112,31.75,2.05,15.5,4.97,16.25,4.02
113,33.5,7.02,15.5,5.22,18.25,0.83
114,40.0,1.73,18.0,4.74,15.25,2.77
115,36.75,2.59,16.33,4.64,12.0,4.08
116,39.75,5.54,13.0,2.16,9.5,2.69
117,32.33,4.99,18.5,2.87,19.0,3.74
118,28.0,1.73,15.75,3.9,16.0,3.74
119,34.0,3.74,10.33,1.7,15.25,3.56
120,33.75,3.9,16.5,4.5,15.33,1.25
121,38.0,1.22,15.33,2.49,13.33,1.25
122,36.25,6.38,13.25,1.79,13.5,1.66
123,29.75,1.64,15.5,1.5,16.5,3.2
124,30.5,3.35,17.75,3.27,16.75,2.95
125,39.75,7.29,16.5,4.5,18.0,2.45
126,34.0,2.35,19.0,2.12,18.33,2.49
127,32.25,7.76,15.75,1.3,18.5,1.5
128,34.67,3.4,14.33,1.7,19.33,4.19
129,29.25,1.48,16.0,4.18,18.0,4.12
130,34.5,5.41,15.25,3.11,19.0,2.45
131,40.25,3.34,19.25,1.64,12.0,4.08
132,34.0,3.74,15.75,5.76,14.67,7.59
133,31.67,4.64,10.0,4.24,19.33,3.68
134,35.0,4.06,13.75,4.21,16.0,3.94
135,23.0,3.67,14.25,2.95,11.0,2.92
136,37.0,6.6,14.75,2.17,18.33,3.09
137,37.0,0.82,7.67,5.44,18.75,1.3
138,33.25,3.77,15.25,3.42,15.75,1.92
139,38.5,2.87,13.0,2.74,16.75,3.56
140,29.75,3.7,13.25,2.59,19.25,3.49
141,28.25,4.55,17.5,2.87,16.0,4.18
142,40.25,6.87,15.5,4.92,19.75,1.3
143,32.75,3.11,12.67,8.5,16.67,0.94
144,35.25,2.86,14.75,3.49,19.75,1.3
145,32.0,4.97,15.5,2.87,19.0,2.83
146,30.0,0.0,17.75,1.79,19.25,3.42
147,35.0,3.67,13.0,5.24,16.25,2.49
148,41.33,3.3,19.0,4.97,22.75,1.09
149,28.5,4.5,21.33,2.05,19.67,0.94
150,33.0,10.39,17.0,3.0,16.0,6.16
151,30.75,6.83,14.0,2.83,22.0,3.54
152,25.5,2.5,14.25,3.7,18.0,3.67
153,33.75,4.44,15.25,3.49,22.0,3.16
154,30.75,4.44,19.0,1.63,7.67,4.78
155,37.5,0.5,22.0,2.24,12.33,2.05
156,41.75,1.79,15.0,4.24,10.33,3.86
157,30.0,4.24,20.0,2.55,15.25,4.26
158,37.0,1.41,18.25,1.79,17.0,6.16
159,41.67,2.36,19.0,1.63,15.5,2.6
160,31.5,7.43,23.0,1.22,16.25,4.76
161,35.5,5.12,20.5,2.29,16.67,1.7
162,35.25,8.58,12.0,5.79,16.25,4.82
163,31.75,5.31,16.0,3.24,17.25,6.98
164,31.25,5.58,16.75,1.09,16.0,3.08
165,42.25,3.27,17.25,3.96,13.5,4.15
166,33.75,5.4,18.0,2.45,19.33,4.64
167,42.0,2.45,13.25,5.97,15.33,2.87
168,36.67,7.13,14.33,6.8,19.0,3.81
169,31.5,3.2,17.75,5.36,18.33,2.49
170,38.5,7.09,15.75,3.11,9.75,4.44
171,40.0,6.0,19.5,3.35,18.25,2.49
172,33.0,4.24,21.0,2.12,21.0,1.87
173,40.5,6.8,14.75,2.38,14.25,6.83
174,30.25,0.43,14.0,2.45,20.75,0.43
175,33.5,5.85,13.75,5.02,16.67,3.68
176,40.0,5.87,14.5,5.5,19.0,1.41
177,31.0,5.61,17.67,3.4,16.67,8.34
178,35.0,6.67,17.75,1.09,15.0,3.08
179,31.0,1.41,14.75,1.79,12.5,2.5
180,29.25,1.3,13.33,3.86,17.0,2.12
181,35.33,3.09,13.0,2.74,17.33,4.71
182,41.33,3.86,14.0,2.83,15.5,4.27
183,30.75,9.68,13.75,2.68,17.25,4.15
184,36.75,2.49,9.5,2.29,16.0,1.58
185,33.25,8.84,15.75,2.49,21.5,2.69
186,25.75,7.66,14.25,6.42,20.5,2.29
187,37.5,5.41,16.5,3.84,16.5,0.87
188,38.25,3.9,16.0,7.0,19.5,1.5
189,35.5,3.35,17.75,3.42,13.0,5.52
190,36.75,11.45,15.67,1.7,14.0,5.66
191,28.0,2.92,14.25,1.09,18.5,4.15
192,23.0,10.22,14.0,2.45,18.75,2.86
193,39.25,3.7,15.25,3.27,17.5,3.28
194,36.67,0.94,14.75,3.63,16.67,1.7
195,35.5,2.69,16.0,2.74,16.0,2.45
196,35.67,8.73,15.33,4.64,13.0,9.42
197,29.5,4.92,16.0,2.12,17.25,3.34
198,30.75,3.9,12.25,3.9,20.0,1.87
199,39.75,3.27,15.0,5.61,15.5,5.02
200,34.25,4.02,21.33,2.05,14.33,5.19
201,36.75,2.49,17.33,0.94,12.33,1.25
202,34.5,1.5,16.5,3.64,19.25,3.49
203,32.75,5.36,12.75,0.83,20.0,3.67
204,41.25,0.83,17.0,3.81,20.0,3.0
205,38.67,1.7,16.0,6.4,18.0,0.82
206,39.75,2.49,13.67,3.4,13.75,3.03
207,34.0,1.41,14.67,4.92,15.0,4.3
208,27.5,2.18,16.25,1.09,22.25,2.77
209,25.0,9.62,11.25,4.32,12.75,7.4
210,41.25,3.9,15.75,4.92,11.0,4.42
211,36.25,2.17,17.75,1.09,18.75,1.3
212,38.5,4.82,18.25,2.59,13.75,3.49
213,36.75,4.92,14.33,3.86,17.5,4.61
214,31.0,1.22,15.0,2.16,21.0,2.45
215,35.0,5.35,16.75,3.27,10.67,6.94
216,36.5,2.29,13.75,6.5,17.75,5.49
217,33.0,4.9,14.33,8.06,20.0,1.22
218,35.75,7.29,15.25,5.63,15.75,3.56
219,33.5,6.87,19.75,2.38,15.25,5.31
220,24.75,5.21,15.5,2.87,16.0,1.58
221,42.0,4.3,13.25,3.63,14.25,2.49
222,37.75,1.3,15.25,1.3,17.0,3.81
223,34.25,7.26,20.0,2.12,18.75,2.86
224,35.25,6.65,15.0,6.52,14.25,6.61
225,27.0,1.87,13.0,4.08,20.33,0.94
226,34.0,5.34,15.33,5.44,14.75,5.8
227,39.25,4.71,19.0,1.41,12.67,0.94
228,29.67,2.49,21.25,3.63,19.33,2.49
229,35.4,6.15,16.75,1.3,18.8,3.43
230,34.0,1.41,14.0,2.12,14.33,4.03
231,28.5,4.5,15.75,3.27,17.0,3.67
232,39.67,3.86,15.0,9.2,14.0,5.2
233,35.75,5.36,12.0,7.18,18.25,1.3
234,32.75,2.68,19.5,5.59,16.25,2.05
235,37.25,4.26,16.25,3.63,14.5,2.6
236,24.25,3.27,12.25,1.79,13.5,5.59
237,27.25,7.98,17.75,4.44,13.0,6.52
238,41.0,4.06,16.0,3.24,15.5,5.41
239,31.5,3.2,17.75,2.68,15.5,3.04
240,37.5,1.5,20.75,0.43,11.0,2.35
241,30.75,6.3,16.5,3.35,14.33,4.78
242,26.25,3.34,19.0,0.71,14.75,1.09
243,37.0,8.92,16.33,5.25,15.33,5.79
244,35.5,5.55,19.75,3.49,21.75,1.3
245,28.0,3.74,17.67,2.87,18.67,7.54
246,43.67,2.62,13.33,1.89,14.5,8.65
247,36.0,5.61,18.25,2.77,18.0,4.24
248,30.75,5.12,16.33,1.89,16.67,4.64
249,35.25,8.32,20.8,1.72,16.0,1.9
250,28.25,7.56,15.0,6.6,12.67,2.62
251,31.25,8.5,22.5,1.12,16.5,2.87
252,38.75,6.72,17.0,4.42,15.25,5.4
253,33.75,3.11,15.5,2.87,16.75,6.18
254,29.5,6.87,18.25,2.38,13.5,5.02
255,35.0,5.05,14.67,6.02,14.33,2.62
256,38.75,2.17,17.0,3.56,17.5,3.91
257,37.75,6.61,10.25,4.87,15.33,2.62
258,36.5,6.42,15.25,2.68,20.75,2.49
259,26.67,0.47,13.5,2.6,19.0,2.0
260,33.25,6.68,15.25,4.44,20.5,7.26
261,39.25,2.17,14.75,3.9,18.25,4.82
262,35.75,1.79,14.5,2.29,21.25,1.92
263,37.5,1.5,13.25,4.76,19.5,4.5
264,28.33,1.89,16.33,3.09,16.75,4.87
265,37.25,4.97,14.5,5.36,19.0,3.24
266,37.5,5.41,16.25,5.58,16.75,3.83
267,28.0,6.04,17.75,2.17,9.75,5.4
268,35.0,8.75,13.75,2.17,18.0,3.67
269,34.75,5.07,14.5,2.87,15.75,5.36
270,28.75,8.23,19.67,3.4,20.75,3.49
271,34.25,5.12,17.67,0.47,18.25,1.92
272,37.0,5.7,16.5,1.66,18.25,1.09
273,31.5,4.5,13.67,1.25,13.33,1.25
274,36.5,7.23,13.0,6.67,9.75,3.11
275,34.25,4.6,12.75,1.92,18.75,1.92
276,25.0,3.54,15.0,4.95,19.75,3.03
277,34.0,2.74,12.75,5.93,12.75,1.3
278,36.0,2.12,13.25,2.17,14.75,2.17
279,37.25,3.27,13.0,2.16,13.0,1.41
280,41.0,6.6,14.0,1.63,15.33,2.05
281,25.5,9.55,15.75,2.86,15.0,5.24
282,28.0,1.63,15.5,7.3,9.67,3.3
283,37.0,1.22,16.25,2.49,14.0,3.39
284,36.0,0.0,17.0,3.74,12.0,5.48
285,36.25,2.86,13.0,1.73,17.75,1.92
286,35.25,4.44,9.5,6.69,16.0,6.68
287,29.5,1.66,14.25,3.34,17.25,3.03
288,37.25,6.14,18.5,0.87,11.5,2.96
289,37.5,4.5,17.75,1.79,17.75,3.83
290,35.0,2.74,13.0,1.58,16.67,1.25
291,37.0,2.83,17.67,2.49,13.67,4.64
292,26.75,8.01,14.67,2.87,15.67,1.7
293,33.25,6.61,16.25,3.9,17.75,3.96
294,41.0,1.41,17.5,0.87,13.67,6.18
295,36.67,0.94,17.33,4.78,15.25,2.17
296,39.33,2.49,9.33,1.25,16.5,1.66
297,34.75,5.58,14.25,2.49,13.0,7.58
298,31.75,3.27,15.25,6.1,16.75,9.12
299,25.5,12.09,12.75,4.32,17.0,4.36
300,39.5,2.6,16.25,2.05,15.25,2.95
301,33.25,3.9,15.75,6.87,15.0,1.87
302,38.75,3.9,16.25,3.96,13.5,5.94
303,34.5,8.08,15.25,2.38,19.0,2.55
304,26.25,3.96,18.25,2.17,18.0,4.3
305,39.25,4.66,15.25,3.27,13.0,5.89
306,37.25,4.76,21.0,4.08,14.75,2.05
307,33.75,3.27,14.67,2.05,16.0,2.83
308,34.0,11.29,15.67,4.99,11.0,4.97
309,38.0,5.1,14.0,6.4,15.67,2.62
310,27.33,2.05,10.0,5.1,15.0,5.89
311,41.25,4.32,10.75,2.68,20.5,2.29
312,37.67,1.25,17.33,4.92,19.25,2.77
313,32.25,6.83,12.75,3.27,12.75,3.96
314,35.5,5.89,14.25,1.48,14.75,8.2
315,28.75,4.09,16.75,5.76,16.0,6.16
316,28.5,5.72,12.25,7.26,20.25,2.28
317,38.0,5.2,12.0,4.42,16.0,2.45
318,34.75,1.48,20.25,3.9,16.5,3.35
319,34.0,4.58,9.5,4.82,13.25,2.95
320,34.25,12.68,12.67,4.11,11.67,6.18
321,27.0,6.04,12.0,3.56,18.0,3.56
322,31.75,4.21,17.75,3.56,15.5,6.1
323,39.0,3.08,12.25,6.61,10.0,5.34
324,35.0,1.41,17.25,1.48,13.33,5.19
325,38.25,1.48,19.25,1.3,12.0,2.55
326,35.75,6.26,15.25,2.17,14.75,4.97
327,29.25,2.49,18.25,3.19,16.0,2.92
328,30.33,2.36,18.33,3.77,19.0,4.42
329,35.75,3.9,19.25,1.3,15.5,4.33
330,35.25,2.49,15.75,1.3,14.25,8.17
331,37.0,6.12,9.33,6.02,16.75,0.83
332,32.5,7.7,17.0,4.06,15.25,6.26
333,26.0,2.74,18.25,4.02,18.25,4.21
334,36.0,7.18,11.0,6.44,15.33,2.87
335,35.25,2.59,14.75,1.64,16.5,2.69
336,35.25,4.66,21.25,2.17,17.25,1.3
337,42.5,4.5,16.5,3.84,16.75,4.92
338,31.25,3.27,15.75,1.79,18.25,0.83
339,35.5,4.15,19.5,3.35,13.0,5.87
340,39.0,4.74,23.0,2.12,19.5,3.04
341,28.5,3.2,21.75,2.49,15.0,2.83
342,37.75,4.71,19.75,2.86,16.5,8.79
343,36.25,6.38,13.75,5.45,17.5,3.77
344,33.5,5.68,14.33,1.7,19.0,0.82
345,34.75,6.38,17.0,2.92,16.75,7.01
346,38.75,6.02,17.25,3.77,13.75,5.89
347,36.0,0.0,20.0,1.41,17.67,1.25
348,36.33,7.59,13.5,2.69,15.0,4.56
349,35.25,3.77,16.25,2.59,16.25,5.12
350,31.0,1.41,18.5,2.87,24.0,2.45
351,31.25,9.07,15.75,4.44,17.75,1.79
352,37.5,1.5,19.75,2.49,15.0,2.55
353,35.75,4.26,18.25,3.27,10.5,3.2
354,41.0,1.22,10.33,5.44,14.25,4.15
355,15.5,2.69,13.0,4.06,21.67,1.7
356,36.5,4.33,15.5,3.35,18.75,2.49
357,39.67,1.7,14.67,0.47,16.75,2.95
358,30.75,6.5,11.5,2.29,13.5,1.5
359,29.25,11.26,20.0,4.9,17.75,2.68
360,41.75,6.14,19.25,2.17,15.5,7.02
361,31.5,3.35,13.33,2.36,15.75,1.92
362,29.75,2.05,17.75,2.17,11.67,0.47
363,28.75,8.47,15.25,4.44,15.25,3.77
364,32.5,3.57,13.0,2.74,15.5,2.29
365,33.5,6.18,15.0,1.87,12.67,6.85
366,32.25,7.6,14.0,1.41,16.0,3.74
367,29.0,1.22,15.0,6.0,14.33,0.47
368,35.67,6.18,16.0,1.41,16.67,1.25
369,37.0,3.24,17.25,3.27,12.5,2.5
370,31.5,5.32,18.0,3.08,15.5,4.03
371,39.0,1.63,14.67,3.4,15.0,2.55
372,31.75,5.76,11.0,5.0,21.33,1.25
373,27.33,1.25,17.33,1.7,15.0,3.0
374,38.5,4.27,12.0,3.74,19.5,1.5
375,34.0,2.83,9.67,7.32,14.5,4.72
376,32.5,3.2,16.25,2.95,16.25,2.28
377,37.25,3.7,11.75,0.43,12.75,6.3
378,28.25,2.49,14.25,4.66,17.5,4.61
379,29.5,4.15,17.75,3.19,16.0,4.06
380,41.0,5.05,15.0,1.41,17.75,1.48
381,34.5,2.6,14.0,3.39,12.25,3.96
382,36.0,0.0,18.67,2.36,16.33,2.36
383,33.25,3.63,13.75,4.02,18.0,3.0
384,27.5,2.87,16.5,2.69,10.5,2.6
385,36.33,3.68,15.75,5.12,6.67,6.65
386,38.0,4.24,14.5,4.15,12.5,4.97
387,35.0,1.41,15.0,1.63,11.5,3.77
388,33.75,3.96,12.25,4.21,20.33,1.25
389,31.75,6.22,9.75,5.93,21.0,0.71
390,29.75,1.79,15.25,2.95,15.75,4.49
391,37.75,5.07,13.67,1.7,21.0,2.24
392,39.25,4.55,21.33,1.25,11.0,6.16
393,32.5,5.12,11.0,7.0,17.67,4.03
394,32.5,9.66,14.0,2.0,16.0,3.67
395,29.75,1.64,15.5,2.18,19.5,2.6
396,29.0,2.92,12.0,0.0,15.0,2.45
397,39.5,3.35,16.25,4.6,16.75,2.49
398,34.5,2.6,14.33,2.05,16.25,3.27
399,35.67,7.54,15.5,4.03,12.5,2.5
400,36.67,1.25,22.0,1.41,16.5,2.6
401,29.0,7.87,14.33,4.11,14.67,2.36
402,40.67,3.68,12.33,5.91,18.25,2.28
403,41.25,3.27,13.75,4.38,20.5,2.18
404,35.5,3.57,13.0,5.39,17.0,3.54
405,36.5,2.87,13.0,2.74,19.5,4.5
406,27.25,3.7,17.0,1.58,16.5,2.06
407,30.0,2.55,16.5,4.03,10.25,4.38
408,39.0,7.04,16.33,2.87,8.0,3.54
409,34.25,1.79,15.5,2.96,16.0,2.74
410,27.75,8.7,18.67,0.47,18.33,3.09
411,34.67,1.89,16.75,2.86,19.0,1.41
412,29.5,1.5,13.5,5.94,16.75,4.02
413,34.0,5.7,16.0,5.7,21.0,0.71
414,38.75,4.92,15.5,4.39,17.5,2.87
415,27.5,5.02,9.25,5.12,16.5,1.5
416,32.0,9.9,12.33,3.86,18.0,0.71
417,38.75,6.38,13.25,1.79,16.5,4.72
418,27.75,3.27,13.75,3.27,15.25,3.27
419,32.5,3.77,14.25,7.29,15.5,4.33
420,37.5,4.5,11.25,1.3,16.75,1.64
421,31.75,5.36,13.75,4.02,13.67,3.68
422,40.25,1.3,11.67,6.02,16.5,5.41
423,29.67,2.05,11.5,5.94,17.75,5.07
424,29.5,5.41,16.25,2.95,18.25,2.17
425,41.5,3.04,16.33,1.25,19.67,1.7
426,36.0,2.45,14.0,1.41,12.0,4.0
427,36.6,3.5,15.25,3.49,14.6,4.72
428,33.75,17.24,15.75,2.49,16.5,8.08
429,28.25,2.49,15.0,6.16,16.25,4.76
430,23.67,2.05,18.0,4.64,14.67,2.05
431,37.25,1.3,18.5,5.68,13.25,3.96
432,35.25,3.27,19.75,2.95,14.33,0.94
433,43.0,2.16,18.67,2.62,14.67,2.49
434,40.0,6.16,19.0,4.0,17.0,4.42
435,30.0,7.1,16.4,5.24,14.0,4.74
436,38.67,2.05,17.0,4.08,20.0,2.74
437,37.5,1.5,19.0,4.58,21.25,4.92
438,33.25,2.49,21.75,1.09,17.5,2.29
439,32.5,8.44,19.0,2.45,16.75,6.57
440,32.0,7.38,16.5,4.56,18.5,5.94
441,26.25,2.86,18.0,2.55,21.25,0.43
442,30.5,9.76,17.75,2.68,18.33,3.77
443,40.25,4.44,13.5,2.69,8.75,4.82
444,36.0,3.67,16.75,1.79,14.75,2.17
445,34.75,7.6,16.5,3.35,19.0,2.92
446,35.5,4.15,12.75,1.92,21.25,5.97
447,29.0,2.74,17.75,2.77,17.0,8.09
448,39.75,4.15,20.0,2.94,14.0,3.56
449,31.0,3.67,15.75,8.84,22.25,3.34
450,41.0,4.74,13.25,5.12,20.5,3.91
451,41.33,4.78,15.25,1.92,21.33,1.25
452,34.0,2.12,16.75,5.67,17.0,1.22
453,35.8,5.78,15.33,3.09,19.8,4.26
454,34.0,3.56,13.75,7.46,16.0,3.74
455,31.0,1.41,14.75,4.02,8.5,3.5
456,37.0,1.22,17.0,2.92,16.25,1.79
457,40.33,6.6,18.67,6.85,18.25,3.63
458,32.75,6.83,15.25,3.83,15.25,3.96
459,29.5,7.53,13.0,2.55,12.5,3.28
460,38.5,4.33,12.75,2.49,19.0,2.12
461,30.5,0.87,17.25,2.49,18.5,3.04
462,36.5,2.29,15.5,5.02,15.25,2.68
463,32.5,6.42,20.75,1.3,14.5,5.12
464,27.25,2.38,16.33,3.4,11.25,3.96
465,36.25,5.63,12.0,2.12,10.33,2.36
466,36.75,4.92,15.5,4.82,10.67,3.68
467,35.0,2.12,14.0,6.36,15.25,5.36
468,34.75,7.95,17.67,0.47,19.0,5.1
469,35.5,4.97,11.75,1.79,16.0,2.74
470,28.0,3.24,15.0,0.0,21.67,5.56
471,34.5,1.5,17.0,1.73,15.0,4.74
472,36.0,0.0,18.5,4.15,15.0,2.45
473,36.0,2.45,14.75,4.55,14.67,3.4
474,37.25,7.26,14.0,1.58,13.25,4.92
475,31.5,1.66,12.5,3.2,14.25,4.44
476,27.33,1.25,11.33,0.94,20.0,4.0
477,37.8,7.68,14.2,2.48,17.25,0.83
478,33.75,1.3,15.75,5.21,16.5,2.69
479,32.67,3.09,18.67,0.47,14.0,3.16
